time,flux
2024-04-09,0.11
2024-05-05,0.13
2024-05-15,0.099
2024-05-18,0.13
2024-05-24,0.18
2024-05-27,0.26
2024-06-01,0.25
2024-06-03,0.094
2024-06-18,1.279
2024-06-28,0.13
2024-07-12,0.26
2024-07-13,1.5
2024-07-20,5.1
2024-07-30,0.095
2024-08-20,0.19
2024-08-25,0.092
2024-09-04,0.2
2024-09-06,0.076
2024-09-23,0.18
2024-09-28,0.32
2024-10-05,0.095
2024-10-22,0.15
2024-11-10,0.18
2024-11-29,0.285
2024-12-01,0.38
2024-12-20,3.4
2024-12-28,0.11
2025-01-10,0.095
2025-01-11,0.1
2025-02-02,0.13
2025-02-06,0.073
2025-02-07,0.086
2025-02-12,0.13
2025-02-22,0.3
2025-03-13,1.8
2025-03-18,0.33
2025-03-21,0.13
2025-03-24,0.16
2025-03-27,2.4
2025-03-29,0.19
2025-04-08,0.076
2025-04-21,0.082
2025-04-28,0.12
2025-05-31,1.0
2025-06-21,0.1
2025-06-26,0.87
2025-07-11,0.11
2025-08-12,0.15
2025-08-19,1.6
2025-09-08,0.12
2025-09-09,0.44
2025-09-10,0.098
2025-09-13,0.48
2025-10-20,0.073
2025-11-11,0.28
2025-11-15,0.32
2025-12-16,0.29
2026-01-30,0.12
2026-01-31,0.19
2026-02-10,0.076
2026-03-17,0.37
2026-03-20,0.098
2026-03-23,0.17
2026-04-01,0.079
