diaObjectId,days ago,sherlock,nDiaSources,psfFlux,absMag
170028500546748520,0.2,AGN,746,1,
170028510647156885,0.2,AGN,1142,1,
313853517445464071,0.2,AGN,1273,5949,
313875415235035152,0.2,AGN,1070,2047,
313853517445988413,0.2,AGN,1246,4502,
313853517447036933,0.2,AGN,1159,3161,
313853517449134105,0.2,AGN,1295,6414,
170028510657642721,0.2,AGN,493,1,
170028511633342584,0.2,AGN,779,1,
313853517453328410,0.2,AGN,1197,4786,
170028510660789036,0.2,AGN,204,1,
313998569342238732,0.2,AGN,258,3079,
313853517458047065,0.2,AGN,1074,2759,
313875416418353154,0.2,AGN,991,4815,
170028500560904312,0.2,SN,1134,1,
170028514380611726,0.2,SN,217,1,
313875416677875727,0.2,AGN,1019,10834,
170028514385854610,0.2,SN,205,1,
170032902569984066,0.2,AGN,91,8664,
313853517467484223,0.2,AGN,1028,4425,
313853517469581322,0.2,AGN,1230,6288,
313853517470105609,0.2,AGN,1300,5543,
313985344764117008,0.2,AGN,1053,4890,
313853517471154280,0.2,AGN,1204,6323,
313875416771723280,0.2,AGN,343,2690,
313985345016299569,0.2,AGN,1052,2931,
313888627224477822,0.2,AGN,754,1,
313998569367404621,0.2,AGN,212,5390,
313853517476397176,0.2,AGN,1067,3787,
313985345706262538,0.2,AGN,576,35725,
170028514452963478,0.2,SN,227,1,
313853517483737108,0.2,AGN,752,4633,
170028514524266647,0.2,SN,182,1,
313853517490028563,0.2,AGN,755,6414,
313853517492650005,0.2,SN,1049,8118,
313888627235487787,0.2,AGN,1035,3497,
170028500580827290,0.2,AGN,1069,1,
170028514722972241,0.2,SN,73,1,
313871013384290397,0.2,AGN,724,2247,
313853517538263081,0.2,AGN,1062,4537,
170028511850397765,0.2,AGN,316,2211,
313853517542982580,0.2,AGN,841,9927,
313853517545604194,0.2,AGN,351,3606,
313875416785354878,0.2,AGN,130,4591,
170028510771413189,0.2,AGN,642,1,
170028500588167170,0.2,AGN,418,11965,
313875416786927752,0.2,AGN,881,4279,
313853517573390359,0.2,AGN,1205,5454,
313875416788500505,0.2,AGN,865,3318,
314011777182990477,0.2,AGN,640,1,
170028510790287495,0.2,AGN,984,1,
170028500594458759,0.2,AGN,1069,1,
313853517579681817,0.2,AGN,1106,4160,
313853517579681858,0.2,AGN,1191,4993,
313853517584924715,0.2,AGN,414,2529,
170028500597080185,0.2,SN,714,1,
313888627087638657,0.2,AGN,170,4509,
313875416793743402,0.2,AGN,1125,12390,
313853517625294923,0.2,AGN,709,3090,
170028510880989368,0.2,AGN,897,1,
170028512972374105,0.2,AGN,88,2682,
170028500605468813,0.2,AGN,1043,1,
313862203460550660,0.2,AGN,1108,1,
313972182532751546,0.2,AGN,1139,1,
314003014420004875,0.2,SN,921,2989,
170032904894152964,0.2,SN,35,2278,-9.3
314003014617137318,0.2,AGN,924,1,
313980947963314178,0.2,AGN,561,7062,
170028500610711667,0.2,AGN,946,1,
170028500615430253,0.2,AGN,1103,1,
313853517735395444,0.2,AGN,1265,11264,
313875416802131975,0.2,AGN,606,6221,
313888627015811150,0.2,AGN,785,3419,
313853517762658312,0.2,AGN,825,2510,
170094456349392906,0.2,SN,56,9576,-18.0
313853517808795736,0.2,AGN,611,3485,
313998569645277236,0.2,AGN,462,3929,
313853517821902930,0.2,AGN,1236,3910,
170226393351716950,0.2,SN,49,8131,-17.6
170226393632735260,0.2,SN,45,16635,-17.6
313875416809996391,0.2,AGN,1153,6035,
170230797176406143,0.2,SN,55,3698,
170028511037751456,0.2,SN,974,1,
170046091675828358,0.2,AGN,82,39041,
170239611403501631,0.2,SN,42,3064,-17.8
313888627024199827,0.2,AGN,715,3428,
170046091680546942,0.2,AGN,101,7718,
170046091687887038,0.2,SN,24,1,
170261592629837872,0.2,SN,30,9821,-18.5
170046091723538510,0.2,AGN,96,4043,
170274770671632438,0.2,SN,10,4355,-14.4
170032900374790313,0.2,SN,17,2153,
170046091875057713,0.2,AGN,46,3341,
170028510485676206,0.2,AGN,1078,1,
170028510489870462,0.2,AGN,1112,1,
170028510491967602,0.2,AGN,1124,1,
313853517979713615,0.2,SN,1226,6665,
313853517997015064,0.2,AGN,732,1818,
313871015514997074,0.2,SN,659,1,
313967766427140178,0.2,AGN,107,2391,
313871013093310527,0.2,AGN,1078,12330,
313853532993749104,0.2,AGN,1209,6732,
170028513476215519,0.2,AGN,616,1,
313853533017866291,0.2,AGN,969,2576,
313888627175194724,0.2,AGN,745,4067,
170028510526046347,0.2,AGN,1028,1,
313853533125345391,0.2,AGN,283,3207,
170028510543347881,0.2,AGN,1144,1,
313853533155754132,0.2,AGN,1075,1,
313871013131059260,0.2,AGN,899,1695,
170028510547017858,0.2,AGN,888,1,
313888627046744192,0.2,AGN,85,2064,
313875416835162186,0.2,AGN,126,839,
313967766931505175,0.2,AGN,1191,8176,
170028511442502414,0.2,AGN,689,1,
313963404992184401,0.2,AGN,1142,1,
313998570483613856,0.2,AGN,1086,1,
313853517404569756,0.2,AGN,1295,7261,
313853517405093911,0.2,AGN,1228,7167,
313853517406666836,0.2,AGN,1279,5176,
170028510557503652,0.2,AGN,920,1,
170028510560649331,0.2,AGN,339,1,
313853517414531091,0.2,AGN,1206,7766,
313853517415579714,0.2,AGN,1081,4558,
313853517416628317,0.2,AGN,1009,14903,
313875415053631551,0.2,AGN,758,9605,
170028514014658968,0.2,AGN,123,3856,
313871013155700761,0.2,AGN,752,3621,
313853533289447521,0.2,AGN,1235,13005,
313875415074603025,0.2,AGN,941,17875,
313871013160419410,0.2,AGN,953,1908,
313853517424492638,0.2,AGN,1150,14882,
313875415093477395,0.2,AGN,851,14222,
313853517426589782,0.2,AGN,1200,8456,
313853517427638315,0.2,AGN,1128,6180,
313853517428162615,0.2,AGN,1278,4427,
313875415113400364,0.2,AGN,961,11991,
313875415177363477,0.2,AGN,1055,6080,
170028510637195404,0.2,AGN,864,1,
313875415210393614,0.2,AGN,1132,3565,
313853517439697012,0.2,AGN,1214,6939,
313875415212490766,0.2,AGN,669,2038,
313853517440221188,0.2,AGN,1211,2490,
313853517444939794,0.2,AGN,1317,8770,
313875415321542685,0.2,AGN,1086,6694,
313853517449658442,0.2,AGN,1193,3712,
313853517450182757,0.2,AGN,1261,2803,
313875415981096971,0.2,AGN,791,3662,
313875416038768645,0.2,AGN,630,4624,
170028500553564298,0.2,AGN,1022,1,
313875416906989694,0.2,AGN,984,1,
170028500561428629,0.2,SN,873,1,
170028514387427460,0.2,SN,177,1,
170028514404729018,0.2,SN,200,1,
313998569356918822,0.2,SN,90,2349,
313985345023639575,0.2,AGN,770,56853,
313853517475872873,0.2,AGN,1121,9783,
313888627225526307,0.2,AGN,215,5388,
170028514431467655,0.2,SN,211,1,
170028500568244363,0.2,AGN,1089,1,
313853517479542815,0.2,AGN,1098,6381,
170028500572963993,0.2,AGN,171,1,
313853517479542877,0.2,AGN,758,4445,
170028500575060084,0.2,AGN,837,1,
313853517483737142,0.2,AGN,378,2666,
170028500576108660,0.2,AGN,1098,1,
170028500581351556,0.2,AGN,1156,1,
313853517538263064,0.2,AGN,917,15075,
170028500586594438,0.2,AGN,1137,1,
170028500588167286,0.2,AGN,784,1,
314011776610992165,0.2,SN,406,1692,
314011777238564879,0.2,SN,26,3312,-19.1
170028511979373784,0.2,AGN,961,1,
170028510795006087,0.2,AGN,879,1,
313853517579157648,0.2,AGN,1291,8705,
170028500596031610,0.2,AGN,1087,1,
313871013436194856,0.2,AGN,969,2023,
313980947942342770,0.2,SN,308,2506,
313853517603799130,0.2,AGN,1230,4196,
313888627088162946,0.2,AGN,152,2043,
170028500600225963,0.2,AGN,1148,1,
313875416793219178,0.2,AGN,894,1,
170028500601274484,0.2,AGN,1073,1,
313893021465706591,0.2,AGN,1040,8451,
170028500601798711,0.2,AGN,512,25508,
170028512979189978,0.2,AGN,302,2935,
170028510900387871,0.2,NT,130,1198,-12.4
170028500609138827,0.2,AGN,1084,1,
313853517711802444,0.2,AGN,933,5337,
170028500610187383,0.2,AGN,1095,1,
313875416798461967,0.2,AGN,863,3074,
313853517735395426,0.2,AGN,340,3149,
170028500619100295,0.2,AGN,1069,1,
170028500623818873,0.2,AGN,1032,1,
170028500626440293,0.2,AGN,585,1,
170107660764446767,0.2,SN,60,8269,-16.8
170226393301385313,0.2,SN,53,5994,
170226393328648251,0.2,SN,60,6250,-19.1
313853517840777344,0.2,SN,544,2216,
170028511035654269,0.2,AGN,1079,1,
170046091672682560,0.2,AGN,125,5067,
170046091678449688,0.2,AGN,140,7163,
170046091686838359,0.2,AGN,79,2993,
170032900283564046,0.2,AGN,576,2715,
313980948078133302,0.2,AGN,999,10362,
170046091710955607,0.2,AGN,59,3033,
170270398108139547,0.2,SN,15,4736,
170046091714625647,0.2,AGN,89,3629,
170274770629689377,0.2,SN,11,4690,-17.6
170046091921195087,0.2,AGN,101,31817,
170046092051742878,0.2,AGN,77,1,
313998569777922057,0.2,AGN,490,2283,
313888627031015551,0.2,AGN,126,2163,
313888627167854606,0.2,AGN,319,4342,
313888627033112760,0.2,AGN,937,7645,
313998569877536925,0.2,SN,379,1,
170028510516609147,0.2,AGN,1064,1,
313893021594681367,0.2,AGN,1097,8343,
170028510521852046,0.2,AGN,1120,1,
313972183909531813,0.2,AGN,1039,1,
170028510524997740,0.2,AGN,1119,1,
313853533039886396,0.2,SN,1104,2670,
170046096390750326,0.2,AGN,48,2711,
170028510532337794,0.2,AGN,1110,1,
313888627043074080,0.2,SN,1107,5189,-14.9
313967766838706300,0.2,AGN,427,1,
313853517406142539,0.2,AGN,1197,3272,
170028510555406485,0.2,AGN,1094,1,
313871018649190439,0.2,AGN,1144,32269,
313853533243310118,0.2,AGN,995,2258,
313875415023747124,0.2,AGN,1083,7297,
313853517414531079,0.2,AGN,1145,2738,
313871013148360910,0.2,AGN,1001,1,
313875415047340044,0.2,AGN,1144,21120,
170028511473959008,0.2,SN,628,4155,
313853517414531101,0.2,AGN,1176,7628,
313853517418201200,0.2,AGN,1227,3718,
313853533282631821,0.2,AGN,1204,8345,
313853517419249672,0.2,SN,1289,6737,-22.1
313853533284728839,0.2,AGN,1028,2311,
313853517419249797,0.2,SN,1314,8799,-22.2
313853533285777446,0.2,AGN,927,2790,
313963405651214357,0.2,AGN,776,20590,
